m_disk, sb_law, scale_factor, r_in, r_out, inc, pa, lnprob 

-6.988374896695810357e+00,4.717147352966875040e+00,5.023861816851581119e-02,9.436082089858446764e+00,1.805263032324765149e+01,8.879561996222803089e+01,1.275475828923190420e+02,-6.084041523437500000e+05
-7.625253428001220080e+00,3.152095893414069927e+00,4.006994586717042839e-02,9.126959718070793315e+00,4.149812374386925740e+01,8.910703450415221027e+01,1.290447008986123762e+02,-3.132843750000000000e+05
-8.062249347422968171e+00,3.876581334597222206e+00,3.289193071285419906e-02,9.324198887225204402e+00,5.695077509740021782e+01,8.940716831429728018e+01,1.270452875964082153e+02,-3.164630390625000000e+05
-7.439181401226858448e+00,2.401708346976370478e+00,2.220934293726311778e-02,3.974833657124235309e+00,2.822798684767763078e+01,8.979937754819022189e+01,1.253850183043589226e+02,-3.247018671875000000e+05
-7.259466271921432678e+00,2.888684640193208253e+00,4.067517918425388179e-02,1.788059610628468299e+00,7.069589044723922200e+01,8.962188195027272286e+01,1.273169457067088217e+02,-3.156163964843750000e+05
-7.097454957894715477e+00,3.026181256820688503e+00,5.473964433127888329e-02,1.113247450062428179e+01,1.716925154237630480e+01,8.941889856568997175e+01,1.297781671277685973e+02,-5.104450078125000000e+05
-7.030383816899171023e+00,3.673026743475092282e+00,3.860047361522394443e-02,9.842105145151887058e+00,1.265355490336771105e+01,8.958653210886488694e+01,1.286910002932838211e+02,-7.573514492187500000e+05
-7.517590313829125570e+00,3.844561825375351294e+00,3.481266390729820248e-02,1.376027008463181112e+01,5.389490895390648006e+01,9.018207849988256442e+01,1.280532853882166080e+02,-inf
-7.252647533296440407e+00,3.258381799430025705e+00,3.074359236093627407e-02,1.075131067295598797e+01,-1.359916578566118517e+01,8.936276586519055343e+01,1.310377726906565670e+02,-inf
-6.733308540764435079e+00,2.571363117019085820e+00,4.031340049589728775e-02,3.156232321288927167e+00,7.872153765945520831e+01,8.949738498242112428e+01,1.260238652063282245e+02,-3.368935839843750000e+05
-8.071196210203961385e+00,4.716042877042232462e+00,3.402398775001847647e-02,9.468954504301713371e+00,3.768473323071390269e+01,8.928137460157989835e+01,1.283690329099829910e+02,-3.152762324218750000e+05
-7.222626763940334982e+00,3.810889960518126784e+00,3.268731423041224687e-02,3.369002333363812163e+00,2.760153380250325483e+01,8.940060556407624404e+01,1.280306229143258179e+02,-3.441667519531250000e+05
-7.537114914916319464e+00,4.714179058564427649e+00,5.170328782118620292e-02,6.555225131196512400e+00,2.327556672455607156e+01,8.976732915215794151e+01,1.322079762342489460e+02,-3.219579042968750000e+05
-7.882668288398341438e+00,9.730330668741449252e-01,5.074409873500783374e-02,7.763690071192915099e+00,6.848229591642443381e+01,8.978640371981538237e+01,1.253418334164260273e+02,-3.160739628906250000e+05
-7.226074669688869356e+00,3.800723282418787097e+00,4.280308834457116629e-02,7.950257896632451526e+00,5.102015082075385521e+01,8.944064899556484249e+01,1.290121418885116498e+02,-3.157474414062500000e+05
-7.685531281400412418e+00,3.056476183665938873e+00,6.405364704027824430e-02,-1.733232605760715472e+00,6.680418414452243780e+01,8.921449563873700583e+01,1.283914242076483276e+02,-inf
-7.412676000126233511e+00,4.716714566552632881e+00,4.388495160094954550e-02,9.448963071740408282e+00,2.574542582180508532e+01,8.898596182833490786e+01,1.278694662396079309e+02,-3.252354960937500000e+05
-7.618017196099219568e+00,3.163936109352937898e+00,3.993726107667044251e-02,9.023474483145383473e+00,4.124836644650476103e+01,8.911231072765886552e+01,1.290264753211332334e+02,-3.132443085937500000e+05
-8.040698270422490523e+00,3.829665216549542173e+00,3.467461279956655928e-02,8.691631513834169098e+00,5.751446342627110653e+01,8.939614600334010674e+01,1.271222966288347607e+02,-3.164350820312500000e+05
-7.455722123768091514e+00,2.348423070470433860e+00,2.327360321662023945e-02,4.116146567396256728e+00,2.972935109689326083e+01,8.979889366354413482e+01,1.253834076383619447e+02,-3.215705019531250000e+05
-7.246451626206252605e+00,3.214480943630306342e+00,3.785322964984928068e-02,2.346574383489987259e+00,5.547153445576841335e+01,8.954370952264528682e+01,1.275690732871558879e+02,-3.153849667968750000e+05
-7.097454957894715477e+00,3.026181256820688503e+00,5.473964433127888329e-02,1.113247450062428179e+01,1.716925154237630480e+01,8.941889856568997175e+01,1.297781671277685973e+02,-5.104450078125000000e+05
-7.444331856458325625e+00,2.361660495906233059e+00,4.449853931931173345e-02,8.832634863777238721e+00,3.976914678169877249e+01,8.968360821934588500e+01,1.270643355948256925e+02,-3.139167070312500000e+05
-7.517590313829125570e+00,3.844561825375351294e+00,3.481266390729820248e-02,1.376027008463181112e+01,5.389490895390648006e+01,9.018207849988256442e+01,1.280532853882166080e+02,-inf
-7.252647533296440407e+00,3.258381799430025705e+00,3.074359236093627407e-02,1.075131067295598797e+01,-1.359916578566118517e+01,8.936276586519055343e+01,1.310377726906565670e+02,-inf
-6.733308540764435079e+00,2.571363117019085820e+00,4.031340049589728775e-02,3.156232321288927167e+00,7.872153765945520831e+01,8.949738498242112428e+01,1.260238652063282245e+02,-3.368935839843750000e+05
-7.949388518512429336e+00,4.494275075725833624e+00,3.458953389096552922e-02,8.417040131417346416e+00,4.031169100871856159e+01,8.932011921634313012e+01,1.282508857441893326e+02,-3.148337792968750000e+05
-7.222626763940334982e+00,3.810889960518126784e+00,3.268731423041224687e-02,3.369002333363812163e+00,2.760153380250325483e+01,8.940060556407624404e+01,1.280306229143258179e+02,-3.441667519531250000e+05
-7.537114914916319464e+00,4.714179058564427649e+00,5.170328782118620292e-02,6.555225131196512400e+00,2.327556672455607156e+01,8.976732915215794151e+01,1.322079762342489460e+02,-3.219579042968750000e+05
-7.816354929036705812e+00,1.206660928850557646e+00,4.940047338702877044e-02,7.199059874202347942e+00,6.712617409255351220e+01,8.976110751418556788e+01,1.255739803668428607e+02,-3.158606289062500000e+05
-7.226074669688869356e+00,3.800723282418787097e+00,4.280308834457116629e-02,7.950257896632451526e+00,5.102015082075385521e+01,8.944064899556484249e+01,1.290121418885116498e+02,-3.157474414062500000e+05
-7.531761907048777793e+00,3.048554708577038141e+00,6.161823464221664187e-02,1.630874489295685237e+00,5.382571140697204726e+01,8.926794263011701958e+01,1.287540278063483754e+02,-3.143877460937500000e+05
-7.364111954333770527e+00,4.478322682829677603e+00,4.360339060349686241e-02,9.058916620395439878e+00,3.232331516141438499e+01,8.910429672101142273e+01,1.281668540042568907e+02,-3.185346601562500000e+05
-7.618017196099219568e+00,3.163936109352937898e+00,3.993726107667044251e-02,9.023474483145383473e+00,4.124836644650476103e+01,8.911231072765886552e+01,1.290264753211332334e+02,-3.132443085937500000e+05
-8.040698270422490523e+00,3.829665216549542173e+00,3.467461279956655928e-02,8.691631513834169098e+00,5.751446342627110653e+01,8.939614600334010674e+01,1.271222966288347607e+02,-3.164350820312500000e+05
-7.455722123768091514e+00,2.348423070470433860e+00,2.327360321662023945e-02,4.116146567396256728e+00,2.972935109689326083e+01,8.979889366354413482e+01,1.253834076383619447e+02,-3.215705019531250000e+05
-7.352305415634141639e+00,3.407202452563259598e+00,3.736175656400205630e-02,3.260713063709412829e+00,5.318864548868201325e+01,8.951003952828237686e+01,1.276717459922679296e+02,-3.143726738281250000e+05
-7.097454957894715477e+00,3.026181256820688503e+00,5.473964433127888329e-02,1.113247450062428179e+01,1.716925154237630480e+01,8.941889856568997175e+01,1.297781671277685973e+02,-5.104450078125000000e+05
-7.458980038843533222e+00,2.265909075519132010e+00,4.527891372266873438e-02,9.193620192902020705e+00,4.057306793699387271e+01,8.970230636679394820e+01,1.270004924384426204e+02,-3.136875976562500000e+05
-7.517590313829125570e+00,3.844561825375351294e+00,3.481266390729820248e-02,1.376027008463181112e+01,5.389490895390648006e+01,9.018207849988256442e+01,1.280532853882166080e+02,-inf
-7.252647533296440407e+00,3.258381799430025705e+00,3.074359236093627407e-02,1.075131067295598797e+01,-1.359916578566118517e+01,8.936276586519055343e+01,1.310377726906565670e+02,-inf
-6.655378107154378498e+00,2.474028162777925477e+00,3.722606149002297138e-02,1.449248585150609614e+00,9.189425094494137625e+01,8.951418174383528026e+01,1.252204126309971173e+02,-3.344673046875000000e+05
-7.949388518512429336e+00,4.494275075725833624e+00,3.458953389096552922e-02,8.417040131417346416e+00,4.031169100871856159e+01,8.932011921634313012e+01,1.282508857441893326e+02,-3.148337792968750000e+05
-7.222626763940334982e+00,3.810889960518126784e+00,3.268731423041224687e-02,3.369002333363812163e+00,2.760153380250325483e+01,8.940060556407624404e+01,1.280306229143258179e+02,-3.441667519531250000e+05
-7.592330105274559315e+00,4.617196901335937298e+00,4.983618573652284778e-02,6.789470532300624583e+00,2.702967650274978340e+01,8.972663092812878460e+01,1.316503589809310313e+02,-3.167084394531250000e+05
-7.816354929036705812e+00,1.206660928850557646e+00,4.940047338702877044e-02,7.199059874202347942e+00,6.712617409255351220e+01,8.976110751418556788e+01,1.255739803668428607e+02,-3.158606289062500000e+05
-7.226074669688869356e+00,3.800723282418787097e+00,4.280308834457116629e-02,7.950257896632451526e+00,5.102015082075385521e+01,8.944064899556484249e+01,1.290121418885116498e+02,-3.157474414062500000e+05
-7.531761907048777793e+00,3.048554708577038141e+00,6.161823464221664187e-02,1.630874489295685237e+00,5.382571140697204726e+01,8.926794263011701958e+01,1.287540278063483754e+02,-3.143877460937500000e+05
-7.364111954333770527e+00,4.478322682829677603e+00,4.360339060349686241e-02,9.058916620395439878e+00,3.232331516141438499e+01,8.910429672101142273e+01,1.281668540042568907e+02,-3.185346601562500000e+05
-7.618017196099219568e+00,3.163936109352937898e+00,3.993726107667044251e-02,9.023474483145383473e+00,4.124836644650476103e+01,8.911231072765886552e+01,1.290264753211332334e+02,-3.132443085937500000e+05
-7.712588127303432017e+00,3.822134882226989827e+00,3.387755189134662032e-02,6.556844263165027442e+00,4.551705789118555856e+01,8.939793463318454769e+01,1.274866059406366787e+02,-3.141108007812500000e+05
-7.455722123768091514e+00,2.348423070470433860e+00,2.327360321662023945e-02,4.116146567396256728e+00,2.972935109689326083e+01,8.979889366354413482e+01,1.253834076383619447e+02,-3.215705019531250000e+05
-7.352305415634141639e+00,3.407202452563259598e+00,3.736175656400205630e-02,3.260713063709412829e+00,5.318864548868201325e+01,8.951003952828237686e+01,1.276717459922679296e+02,-3.143726738281250000e+05
-7.097454957894715477e+00,3.026181256820688503e+00,5.473964433127888329e-02,1.113247450062428179e+01,1.716925154237630480e+01,8.941889856568997175e+01,1.297781671277685973e+02,-5.104450078125000000e+05
-7.522217556274933159e+00,2.553253890349312716e+00,4.390053249260809226e-02,9.093481232808649395e+00,4.053936373173801400e+01,8.965302384499699428e+01,1.271617289825612005e+02,-3.132993671875000000e+05
-7.517590313829125570e+00,3.844561825375351294e+00,3.481266390729820248e-02,1.376027008463181112e+01,5.389490895390648006e+01,9.018207849988256442e+01,1.280532853882166080e+02,-inf
-7.252647533296440407e+00,3.258381799430025705e+00,3.074359236093627407e-02,1.075131067295598797e+01,-1.359916578566118517e+01,8.936276586519055343e+01,1.310377726906565670e+02,-inf
-6.780998140864805457e+00,2.673708106490100267e+00,3.687444145570709098e-02,3.242903237453637288e+00,8.635793565627537305e+01,8.961149098204859342e+01,1.256331481136362669e+02,-3.270823183593750000e+05
-7.949388518512429336e+00,4.494275075725833624e+00,3.458953389096552922e-02,8.417040131417346416e+00,4.031169100871856159e+01,8.932011921634313012e+01,1.282508857441893326e+02,-3.148337792968750000e+05
-7.222626763940334982e+00,3.810889960518126784e+00,3.268731423041224687e-02,3.369002333363812163e+00,2.760153380250325483e+01,8.940060556407624404e+01,1.280306229143258179e+02,-3.441667519531250000e+05
-7.592330105274559315e+00,4.617196901335937298e+00,4.983618573652284778e-02,6.789470532300624583e+00,2.702967650274978340e+01,8.972663092812878460e+01,1.316503589809310313e+02,-3.167084394531250000e+05
-7.816354929036705812e+00,1.206660928850557646e+00,4.940047338702877044e-02,7.199059874202347942e+00,6.712617409255351220e+01,8.976110751418556788e+01,1.255739803668428607e+02,-3.158606289062500000e+05
-7.226074669688869356e+00,3.800723282418787097e+00,4.280308834457116629e-02,7.950257896632451526e+00,5.102015082075385521e+01,8.944064899556484249e+01,1.290121418885116498e+02,-3.157474414062500000e+05
-7.531862681110726321e+00,3.042894309689174293e+00,6.180884879575181123e-02,1.544622474848312166e+00,5.382521934388687868e+01,8.926144221881241947e+01,1.287590107788878981e+02,-3.143884863281250000e+05
-7.394876028999399331e+00,4.623447059779515200e+00,4.597694636338552077e-02,1.029611287733591851e+01,3.335000377720788833e+01,8.903986830029273847e+01,1.281964756445908620e+02,-3.164576992187500000e+05
-7.618017196099219568e+00,3.163936109352937898e+00,3.993726107667044251e-02,9.023474483145383473e+00,4.124836644650476103e+01,8.911231072765886552e+01,1.290264753211332334e+02,-3.132443085937500000e+05
-7.712588127303432017e+00,3.822134882226989827e+00,3.387755189134662032e-02,6.556844263165027442e+00,4.551705789118555856e+01,8.939793463318454769e+01,1.274866059406366787e+02,-3.141108007812500000e+05
-7.455722123768091514e+00,2.348423070470433860e+00,2.327360321662023945e-02,4.116146567396256728e+00,2.972935109689326083e+01,8.979889366354413482e+01,1.253834076383619447e+02,-3.215705019531250000e+05
-7.352305415634141639e+00,3.407202452563259598e+00,3.736175656400205630e-02,3.260713063709412829e+00,5.318864548868201325e+01,8.951003952828237686e+01,1.276717459922679296e+02,-3.143726738281250000e+05
-7.097454957894715477e+00,3.026181256820688503e+00,5.473964433127888329e-02,1.113247450062428179e+01,1.716925154237630480e+01,8.941889856568997175e+01,1.297781671277685973e+02,-5.104450078125000000e+05
-7.522217556274933159e+00,2.553253890349312716e+00,4.390053249260809226e-02,9.093481232808649395e+00,4.053936373173801400e+01,8.965302384499699428e+01,1.271617289825612005e+02,-3.132993671875000000e+05
-7.517590313829125570e+00,3.844561825375351294e+00,3.481266390729820248e-02,1.376027008463181112e+01,5.389490895390648006e+01,9.018207849988256442e+01,1.280532853882166080e+02,-inf
-7.252647533296440407e+00,3.258381799430025705e+00,3.074359236093627407e-02,1.075131067295598797e+01,-1.359916578566118517e+01,8.936276586519055343e+01,1.310377726906565670e+02,-inf
-7.065110770558545639e+00,2.840108102012143032e+00,3.791406621854570558e-02,5.205024992597610201e+00,7.104621933107128484e+01,8.944205228901174110e+01,1.267849583505767868e+02,-3.182972363281250000e+05
-7.949388518512429336e+00,4.494275075725833624e+00,3.458953389096552922e-02,8.417040131417346416e+00,4.031169100871856159e+01,8.932011921634313012e+01,1.282508857441893326e+02,-3.148337792968750000e+05
-7.222626763940334982e+00,3.810889960518126784e+00,3.268731423041224687e-02,3.369002333363812163e+00,2.760153380250325483e+01,8.940060556407624404e+01,1.280306229143258179e+02,-3.441667519531250000e+05
-7.592330105274559315e+00,4.617196901335937298e+00,4.983618573652284778e-02,6.789470532300624583e+00,2.702967650274978340e+01,8.972663092812878460e+01,1.316503589809310313e+02,-3.167084394531250000e+05
-7.816354929036705812e+00,1.206660928850557646e+00,4.940047338702877044e-02,7.199059874202347942e+00,6.712617409255351220e+01,8.976110751418556788e+01,1.255739803668428607e+02,-3.158606289062500000e+05
-7.226074669688869356e+00,3.800723282418787097e+00,4.280308834457116629e-02,7.950257896632451526e+00,5.102015082075385521e+01,8.944064899556484249e+01,1.290121418885116498e+02,-3.157474414062500000e+05
-7.531862681110726321e+00,3.042894309689174293e+00,6.180884879575181123e-02,1.544622474848312166e+00,5.382521934388687868e+01,8.926144221881241947e+01,1.287590107788878981e+02,-3.143884863281250000e+05
-7.432475650777715437e+00,4.622256891422567016e+00,4.671183086675601004e-02,9.628370643939737406e+00,3.214647372344673926e+01,8.917064308876625489e+01,1.288541713962442543e+02,-3.162088125000000000e+05
-7.618017196099219568e+00,3.163936109352937898e+00,3.993726107667044251e-02,9.023474483145383473e+00,4.124836644650476103e+01,8.911231072765886552e+01,1.290264753211332334e+02,-3.132443085937500000e+05
-7.712588127303432017e+00,3.822134882226989827e+00,3.387755189134662032e-02,6.556844263165027442e+00,4.551705789118555856e+01,8.939793463318454769e+01,1.274866059406366787e+02,-3.141108007812500000e+05
-7.455722123768091514e+00,2.348423070470433860e+00,2.327360321662023945e-02,4.116146567396256728e+00,2.972935109689326083e+01,8.979889366354413482e+01,1.253834076383619447e+02,-3.215705019531250000e+05
-7.352305415634141639e+00,3.407202452563259598e+00,3.736175656400205630e-02,3.260713063709412829e+00,5.318864548868201325e+01,8.951003952828237686e+01,1.276717459922679296e+02,-3.143726738281250000e+05
-7.097454957894715477e+00,3.026181256820688503e+00,5.473964433127888329e-02,1.113247450062428179e+01,1.716925154237630480e+01,8.941889856568997175e+01,1.297781671277685973e+02,-5.104450078125000000e+05
-7.522217556274933159e+00,2.553253890349312716e+00,4.390053249260809226e-02,9.093481232808649395e+00,4.053936373173801400e+01,8.965302384499699428e+01,1.271617289825612005e+02,-3.132993671875000000e+05
-7.517590313829125570e+00,3.844561825375351294e+00,3.481266390729820248e-02,1.376027008463181112e+01,5.389490895390648006e+01,9.018207849988256442e+01,1.280532853882166080e+02,-inf
-7.252647533296440407e+00,3.258381799430025705e+00,3.074359236093627407e-02,1.075131067295598797e+01,-1.359916578566118517e+01,8.936276586519055343e+01,1.310377726906565670e+02,-inf
-7.065110770558545639e+00,2.840108102012143032e+00,3.791406621854570558e-02,5.205024992597610201e+00,7.104621933107128484e+01,8.944205228901174110e+01,1.267849583505767868e+02,-3.182972363281250000e+05
-7.949388518512429336e+00,4.494275075725833624e+00,3.458953389096552922e-02,8.417040131417346416e+00,4.031169100871856159e+01,8.932011921634313012e+01,1.282508857441893326e+02,-3.148337792968750000e+05
-7.222626763940334982e+00,3.810889960518126784e+00,3.268731423041224687e-02,3.369002333363812163e+00,2.760153380250325483e+01,8.940060556407624404e+01,1.280306229143258179e+02,-3.441667519531250000e+05
-7.592330105274559315e+00,4.617196901335937298e+00,4.983618573652284778e-02,6.789470532300624583e+00,2.702967650274978340e+01,8.972663092812878460e+01,1.316503589809310313e+02,-3.167084394531250000e+05
-7.816354929036705812e+00,1.206660928850557646e+00,4.940047338702877044e-02,7.199059874202347942e+00,6.712617409255351220e+01,8.976110751418556788e+01,1.255739803668428607e+02,-3.158606289062500000e+05
-7.226074669688869356e+00,3.800723282418787097e+00,4.280308834457116629e-02,7.950257896632451526e+00,5.102015082075385521e+01,8.944064899556484249e+01,1.290121418885116498e+02,-3.157474414062500000e+05
-7.531862681110726321e+00,3.042894309689174293e+00,6.180884879575181123e-02,1.544622474848312166e+00,5.382521934388687868e+01,8.926144221881241947e+01,1.287590107788878981e+02,-3.143884863281250000e+05
-7.478740493519171473e+00,4.210611827397690021e+00,4.703586404706351642e-02,9.335591931731681115e+00,3.636220098035832393e+01,8.924180541852352633e+01,1.284588452332237978e+02,-3.136960332031250000e+05
-7.618017196099219568e+00,3.163936109352937898e+00,3.993726107667044251e-02,9.023474483145383473e+00,4.124836644650476103e+01,8.911231072765886552e+01,1.290264753211332334e+02,-3.132443085937500000e+05
-7.712588127303432017e+00,3.822134882226989827e+00,3.387755189134662032e-02,6.556844263165027442e+00,4.551705789118555856e+01,8.939793463318454769e+01,1.274866059406366787e+02,-3.141108007812500000e+05
-7.455722123768091514e+00,2.348423070470433860e+00,2.327360321662023945e-02,4.116146567396256728e+00,2.972935109689326083e+01,8.979889366354413482e+01,1.253834076383619447e+02,-3.215705019531250000e+05
-7.352305415634141639e+00,3.407202452563259598e+00,3.736175656400205630e-02,3.260713063709412829e+00,5.318864548868201325e+01,8.951003952828237686e+01,1.276717459922679296e+02,-3.143726738281250000e+05
-7.097454957894715477e+00,3.026181256820688503e+00,5.473964433127888329e-02,1.113247450062428179e+01,1.716925154237630480e+01,8.941889856568997175e+01,1.297781671277685973e+02,-5.104450078125000000e+05
-7.522217556274933159e+00,2.553253890349312716e+00,4.390053249260809226e-02,9.093481232808649395e+00,4.053936373173801400e+01,8.965302384499699428e+01,1.271617289825612005e+02,-3.132993671875000000e+05
-7.517590313829125570e+00,3.844561825375351294e+00,3.481266390729820248e-02,1.376027008463181112e+01,5.389490895390648006e+01,9.018207849988256442e+01,1.280532853882166080e+02,-inf
-7.252647533296440407e+00,3.258381799430025705e+00,3.074359236093627407e-02,1.075131067295598797e+01,-1.359916578566118517e+01,8.936276586519055343e+01,1.310377726906565670e+02,-inf
-7.196566049957763944e+00,3.099679607176498042e+00,3.766126199256924351e-02,4.315070836997133341e+00,6.287241665370749644e+01,8.947317153753238017e+01,1.271908604772532669e+02,-3.161695097656250000e+05
-7.949388518512429336e+00,4.494275075725833624e+00,3.458953389096552922e-02,8.417040131417346416e+00,4.031169100871856159e+01,8.932011921634313012e+01,1.282508857441893326e+02,-3.148337792968750000e+05
-7.388144962437590557e+00,3.814688707363629305e+00,3.308939898270617241e-02,4.445915520340328442e+00,3.365373606583834487e+01,8.939970327319667831e+01,1.278468437101475814e+02,-3.172482480468750000e+05
-7.592330105274559315e+00,4.617196901335937298e+00,4.983618573652284778e-02,6.789470532300624583e+00,2.702967650274978340e+01,8.972663092812878460e+01,1.316503589809310313e+02,-3.167084394531250000e+05
-7.816354929036705812e+00,1.206660928850557646e+00,4.940047338702877044e-02,7.199059874202347942e+00,6.712617409255351220e+01,8.976110751418556788e+01,1.255739803668428607e+02,-3.158606289062500000e+05
-7.226074669688869356e+00,3.800723282418787097e+00,4.280308834457116629e-02,7.950257896632451526e+00,5.102015082075385521e+01,8.944064899556484249e+01,1.290121418885116498e+02,-3.157474414062500000e+05
-7.531862681110726321e+00,3.042894309689174293e+00,6.180884879575181123e-02,1.544622474848312166e+00,5.382521934388687868e+01,8.926144221881241947e+01,1.287590107788878981e+02,-3.143884863281250000e+05
-7.478740493519171473e+00,4.210611827397690021e+00,4.703586404706351642e-02,9.335591931731681115e+00,3.636220098035832393e+01,8.924180541852352633e+01,1.284588452332237978e+02,-3.136960332031250000e+05
-7.618017196099219568e+00,3.163936109352937898e+00,3.993726107667044251e-02,9.023474483145383473e+00,4.124836644650476103e+01,8.911231072765886552e+01,1.290264753211332334e+02,-3.132443085937500000e+05
-7.712588127303432017e+00,3.822134882226989827e+00,3.387755189134662032e-02,6.556844263165027442e+00,4.551705789118555856e+01,8.939793463318454769e+01,1.274866059406366787e+02,-3.141108007812500000e+05
-7.455722123768091514e+00,2.348423070470433860e+00,2.327360321662023945e-02,4.116146567396256728e+00,2.972935109689326083e+01,8.979889366354413482e+01,1.253834076383619447e+02,-3.215705019531250000e+05
-7.352305415634141639e+00,3.407202452563259598e+00,3.736175656400205630e-02,3.260713063709412829e+00,5.318864548868201325e+01,8.951003952828237686e+01,1.276717459922679296e+02,-3.143726738281250000e+05
-7.097454957894715477e+00,3.026181256820688503e+00,5.473964433127888329e-02,1.113247450062428179e+01,1.716925154237630480e+01,8.941889856568997175e+01,1.297781671277685973e+02,-5.104450078125000000e+05
-7.522217556274933159e+00,2.553253890349312716e+00,4.390053249260809226e-02,9.093481232808649395e+00,4.053936373173801400e+01,8.965302384499699428e+01,1.271617289825612005e+02,-3.132993671875000000e+05
-7.517590313829125570e+00,3.844561825375351294e+00,3.481266390729820248e-02,1.376027008463181112e+01,5.389490895390648006e+01,9.018207849988256442e+01,1.280532853882166080e+02,-inf
-7.252647533296440407e+00,3.258381799430025705e+00,3.074359236093627407e-02,1.075131067295598797e+01,-1.359916578566118517e+01,8.936276586519055343e+01,1.310377726906565670e+02,-inf
-7.196566049957763944e+00,3.099679607176498042e+00,3.766126199256924351e-02,4.315070836997133341e+00,6.287241665370749644e+01,8.947317153753238017e+01,1.271908604772532669e+02,-3.161695097656250000e+05
-7.946680906105010322e+00,4.490201016040467508e+00,3.459093303897989996e-02,8.450545124166513489e+00,4.039686526151112389e+01,8.932552417547795187e+01,1.282496466811970777e+02,-3.148247402343750000e+05
